station_id,station_name,station_type,lat,long,date,time,pm25,pm10,o3,co,no2,so2,province,district,subdistrict
02t,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,GROUND,13.7328,100.488,2023-07-05,16:00,20.6,40.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตธนบุรี,แขวงหิรัญรูจี
03t,ริมถนนทางหลวงหมายเลข 3902 ,GROUND,13.6365,100.414,2023-07-05,15:00,27.6,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตบางขุนเทียน,
05t,กรมอุตุนิยมวิทยาบางนา,GROUND,13.6662,100.606,2023-07-05,16:00,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตบางนา,แขวงบางนา
10t,เคหะชุมชนคลองจั่น,GROUND,13.7799,100.646,2023-07-05,16:00,17.3,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตบางกะปิ,แขวงคลองจั่น
11t,การเคหะชุมชนห้วยขวาง ,GROUND,13.7755,100.569,2023-07-05,16:00,17.1,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตดินแดง,แขวงดินแดง
12t,โรงเรียนนนทรีวิทยา ,GROUND,13.7081,100.547,2023-07-05,16:00,17.9,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตยานนาวา,แขวงช่องนนทรี
50t,โรงพยาบาลจุฬาลงกรณ์,GROUND,13.7299,100.536,2023-07-05,16:00,23.9,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตปทุมวัน,
52t,การไฟฟ้าย่อยธนบุรี ,GROUND,13.7276,100.487,2023-07-05,16:00,21.3,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตธนบุรี,
53t,สถานีตำรวจนครบาลโชคชัย ,GROUND,13.7954,100.593,2023-07-05,16:00,17.9,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตวังทองหลาง,
54t,การเคหะชุมชนดินแดง ,GROUND,13.7625,100.55,2023-07-05,16:00,32.4,71.0,-1.0,1.5,32.0,-1.0,กรุงเทพฯ,เขตดินแดง,
59t,กรมประชาสัมพันธ์,GROUND,13.7832,100.54,2023-07-05,16:00,13.9,28.0,37.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตพญาไท,แขวงพญาไท
61t,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,GROUND,13.7696,100.615,2023-07-05,16:00,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตวังทองหลาง,แขวงพลับพลา
bkp100t,สำนักงานเขตบึงกุ่ม,BKK,13.7852,100.669,2023-07-05,16:00,20.3,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตบึงกุ่ม,แขวงคลองกุ่ม
bkp101t,สำนักงานเขตคลองสามวา,BKK,13.8599,100.704,2023-07-05,16:00,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตคลองสามวา,
bkp102t,สำนักงานเขตจอมทอง,BKK,13.6778,100.484,2023-07-05,16:00,18.1,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตจอมทอง,
bkp103t,สำนักงานเขตบางพลัด,BKK,13.794,100.505,2023-07-05,16:00,23.9,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตบางพลัด,
bkp104t,สำนักงานเขตบางแค,BKK,13.6963,100.409,2023-07-05,16:00,19.7,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตบางแค,
bkp105t,สำนักงานเขตบางขุนเทียน,BKK,13.6599,100.436,2023-07-05,16:00,25.2,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตบางขุนเทียน,
bkp110t,บริเวณถนนพิษณุโลก,BKK,13.7612,100.517,2023-05-21,10:00,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตปทุมวัน,
bkp112t,สำนักงานเขตบางคอแหลม (Mobile),BKK,13.693,100.502,2023-07-05,16:00,17.3,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตบางคอแหลม,
bkp114t,สวนลุมพินี ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน,BKK,13.7322,100.545,2023-07-05,16:00,12.5,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตปทุมวัน,
bkp115t,สวนวชิรเบญจทัศ ถนนกำแพงเพชร 3 แขวงลาดยาว เขตจตุจักร,BKK,13.8119,100.554,2023-06-16,20:00,10.8,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตจตุจักร,
bkp116t,สวนจตุจักร ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร,BKK,13.8025,100.551,2023-07-05,16:00,15.4,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตจตุจักร,
bkp117t,สวนหลวง ร.9 ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ,BKK,13.6881,100.658,2023-07-05,16:00,18.5,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตประเวศ,
bkp118t,สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ ถนนเคหะร่มเกล้า เขตลาดกระบัง,BKK,13.7631,100.73,2023-07-05,16:00,21.3,-1.0,-1.0,-1.0,-1.0,-1.0,กรุงเทพฯ,เขตลาดกระบัง,
